TransactionID,Item1,Item2,Item3,Item4,Item5
671,phone case,USB cable,power bank,headphones,wireless mouse
672,USB cable,power bank,headphones,,
673,screen protector,laptop charger,wireless mouse,,
674,screen protector,laptop charger,wireless mouse,phone stand,
675,phone case,USB cable,power bank,headphones,laptop charger
676,phone case,,,,
677,phone case,,,,
678,phone case,screen protector,,,
679,screen protector,laptop charger,wireless mouse,phone stand,
680,laptop charger,USB cable,wireless mouse,keyboard,screen protector
681,phone case,screen protector,webcam,,
682,screen protector,,,,
683,USB cable,power bank,headphones,,
684,laptop charger,wireless mouse,phone stand,,
685,screen protector,laptop charger,wireless mouse,,
686,screen protector,laptop charger,wireless mouse,phone stand,
687,screen protector,laptop charger,wireless mouse,phone stand,
688,screen protector,laptop charger,wireless mouse,phone stand,webcam
689,phone case,screen protector,power bank,,
690,phone case,screen protector,tablet cover,,
691,screen protector,laptop charger,wireless mouse,phone stand,power bank
692,phone case,,,,
693,laptop charger,wireless mouse,phone stand,,
694,phone case,screen protector,headphones,,
695,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
696,phone case,USB cable,headphones,,
697,screen protector,laptop charger,wireless mouse,phone stand,phone case
698,phone case,screen protector,power bank,headphones,keyboard
699,laptop charger,wireless mouse,phone stand,,
700,screen protector,laptop charger,wireless mouse,phone stand,
701,phone case,screen protector,,,
702,phone case,,,,
703,screen protector,laptop charger,wireless mouse,phone stand,power bank
704,laptop charger,USB cable,keyboard,,
705,phone case,USB cable,power bank,,
706,screen protector,power bank,headphones,,
707,phone case,screen protector,power bank,headphones,
708,screen protector,wireless mouse,phone stand,,
709,phone case,screen protector,power bank,,
710,phone case,USB cable,headphones,,
711,laptop charger,USB cable,wireless mouse,,
712,phone case,screen protector,power bank,headphones,wireless mouse
713,phone case,USB cable,power bank,headphones,Bluetooth speaker
714,phone case,screen protector,power bank,headphones,
715,phone case,screen protector,power bank,headphones,
716,phone case,screen protector,,,
717,laptop charger,wireless mouse,phone stand,,
718,phone case,,,,
719,laptop charger,USB cable,wireless mouse,,
720,phone case,screen protector,headphones,,
721,phone case,screen protector,power bank,,
722,screen protector,laptop charger,phone stand,,
723,USB cable,wireless mouse,keyboard,,
724,phone case,power bank,headphones,,
725,laptop charger,USB cable,wireless mouse,keyboard,phone stand
726,phone case,screen protector,headphones,,
727,phone case,screen protector,tablet cover,,
728,phone case,,,,
729,screen protector,laptop charger,phone stand,,
730,screen protector,power bank,headphones,,
731,USB cable,power bank,headphones,,
732,screen protector,wireless mouse,phone stand,,
733,screen protector,power bank,headphones,,
734,laptop charger,USB cable,wireless mouse,,
735,laptop charger,USB cable,wireless mouse,keyboard,
736,laptop charger,USB cable,wireless mouse,keyboard,webcam
737,phone case,,,,
738,screen protector,wireless mouse,phone stand,,
739,phone case,,,,
740,phone case,,,,
741,laptop charger,USB cable,wireless mouse,keyboard,
742,phone case,screen protector,power bank,headphones,USB cable
743,screen protector,power bank,headphones,,
744,screen protector,,,,
745,laptop charger,USB cable,keyboard,,
746,phone case,USB cable,power bank,headphones,webcam
747,phone case,screen protector,power bank,,
748,screen protector,laptop charger,wireless mouse,,
749,phone case,,,,
750,screen protector,laptop charger,wireless mouse,phone stand,phone case
751,screen protector,,,,
752,phone case,screen protector,power bank,headphones,
753,laptop charger,USB cable,wireless mouse,,
754,phone case,USB cable,power bank,headphones,tablet cover
755,screen protector,laptop charger,wireless mouse,,
756,laptop charger,USB cable,keyboard,,
757,phone case,USB cable,power bank,headphones,keyboard
758,screen protector,,,,
759,phone case,,,,
760,screen protector,laptop charger,wireless mouse,phone stand,USB cable
761,phone case,USB cable,power bank,headphones,screen protector
762,phone case,screen protector,tablet cover,,
763,phone case,screen protector,power bank,headphones,Bluetooth speaker
764,phone case,,,,
765,USB cable,wireless mouse,keyboard,,
766,phone case,USB cable,power bank,headphones,wireless mouse
767,phone case,USB cable,power bank,headphones,tablet cover
768,phone case,screen protector,laptop charger,,
769,phone case,screen protector,,,
770,laptop charger,USB cable,keyboard,,
771,screen protector,laptop charger,wireless mouse,phone stand,webcam
772,screen protector,,,,
773,laptop charger,USB cable,keyboard,,
774,phone case,screen protector,webcam,,
775,screen protector,power bank,headphones,,
776,phone case,USB cable,power bank,headphones,
777,USB cable,wireless mouse,keyboard,,
778,screen protector,laptop charger,wireless mouse,,
779,phone case,USB cable,power bank,headphones,screen protector
780,phone case,screen protector,power bank,,
781,laptop charger,USB cable,wireless mouse,,
782,phone case,USB cable,power bank,headphones,laptop charger
783,laptop charger,USB cable,keyboard,,
784,laptop charger,wireless mouse,keyboard,,
785,screen protector,power bank,headphones,,
786,screen protector,,,,
787,laptop charger,wireless mouse,keyboard,,
788,phone case,screen protector,power bank,headphones,laptop charger
789,phone case,screen protector,power bank,headphones,
790,phone case,USB cable,power bank,headphones,laptop charger
791,phone case,screen protector,power bank,headphones,keyboard
792,USB cable,wireless mouse,keyboard,,
793,phone case,USB cable,power bank,headphones,webcam
794,USB cable,wireless mouse,keyboard,,
795,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
796,phone case,screen protector,USB cable,,
797,phone case,power bank,headphones,,
798,screen protector,laptop charger,wireless mouse,phone stand,webcam
799,screen protector,power bank,headphones,,
800,screen protector,,,,
801,USB cable,power bank,headphones,,
802,phone case,screen protector,phone stand,,
803,phone case,screen protector,power bank,headphones,tablet cover
804,screen protector,laptop charger,wireless mouse,phone stand,
805,laptop charger,wireless mouse,keyboard,,
806,phone case,screen protector,power bank,,
807,phone case,USB cable,power bank,headphones,
808,laptop charger,USB cable,wireless mouse,,
809,laptop charger,wireless mouse,phone stand,,
810,phone case,screen protector,power bank,headphones,keyboard
811,phone case,USB cable,headphones,,
812,screen protector,laptop charger,wireless mouse,,
813,phone case,USB cable,power bank,,
814,phone case,screen protector,power bank,headphones,Bluetooth speaker
815,screen protector,wireless mouse,phone stand,,
816,phone case,USB cable,power bank,headphones,Bluetooth speaker
817,phone case,USB cable,power bank,headphones,screen protector
818,phone case,screen protector,headphones,,
819,USB cable,wireless mouse,keyboard,,
820,phone case,screen protector,power bank,headphones,
821,screen protector,laptop charger,wireless mouse,,
822,screen protector,laptop charger,wireless mouse,phone stand,
823,phone case,screen protector,power bank,headphones,wireless mouse
824,laptop charger,USB cable,wireless mouse,,
825,phone case,USB cable,power bank,headphones,
826,screen protector,laptop charger,phone stand,,
827,phone case,,,,
828,phone case,USB cable,power bank,headphones,
829,phone case,screen protector,wireless mouse,,
830,laptop charger,USB cable,wireless mouse,,
831,phone case,screen protector,power bank,,
832,phone case,power bank,headphones,,
833,phone case,USB cable,power bank,headphones,phone stand
834,phone case,screen protector,power bank,,
835,screen protector,,,,
836,laptop charger,USB cable,wireless mouse,keyboard,
837,screen protector,laptop charger,phone stand,,
838,laptop charger,USB cable,wireless mouse,keyboard,power bank
839,phone case,screen protector,,,
840,phone case,screen protector,power bank,headphones,laptop charger
841,screen protector,laptop charger,wireless mouse,phone stand,
842,laptop charger,wireless mouse,keyboard,,
843,phone case,screen protector,headphones,,
844,screen protector,laptop charger,wireless mouse,phone stand,
845,phone case,USB cable,power bank,,
846,phone case,screen protector,power bank,,
847,phone case,screen protector,power bank,headphones,phone stand
848,phone case,power bank,headphones,,
849,phone case,screen protector,power bank,,
850,phone case,screen protector,headphones,,
851,laptop charger,USB cable,keyboard,,
852,screen protector,laptop charger,phone stand,,
853,screen protector,wireless mouse,phone stand,,
854,phone case,screen protector,power bank,,
855,phone case,screen protector,webcam,,
856,screen protector,wireless mouse,phone stand,,
857,screen protector,power bank,headphones,,
858,USB cable,wireless mouse,keyboard,,
859,screen protector,laptop charger,wireless mouse,,
860,laptop charger,USB cable,keyboard,,
861,phone case,screen protector,headphones,,
862,phone case,screen protector,phone stand,,
863,laptop charger,wireless mouse,phone stand,,
864,phone case,power bank,headphones,,
865,USB cable,wireless mouse,keyboard,,
866,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
867,screen protector,laptop charger,wireless mouse,,
868,phone case,screen protector,power bank,headphones,
869,phone case,screen protector,power bank,,
870,laptop charger,USB cable,keyboard,,
871,phone case,USB cable,power bank,headphones,
872,phone case,screen protector,power bank,headphones,Bluetooth speaker
873,phone case,power bank,headphones,,
874,phone case,screen protector,power bank,headphones,
875,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
876,phone case,USB cable,power bank,,
877,phone case,USB cable,power bank,,
878,phone case,USB cable,power bank,,
879,laptop charger,wireless mouse,phone stand,,
880,USB cable,power bank,headphones,,
881,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
882,phone case,screen protector,,,
883,screen protector,,,,
884,USB cable,wireless mouse,keyboard,,
885,phone case,USB cable,power bank,headphones,phone stand
886,USB cable,power bank,headphones,,
887,screen protector,laptop charger,wireless mouse,phone stand,Bluetooth speaker
888,screen protector,laptop charger,wireless mouse,phone stand,headphones
889,USB cable,power bank,headphones,,
890,phone case,screen protector,power bank,headphones,Bluetooth speaker
891,laptop charger,USB cable,wireless mouse,keyboard,webcam
892,phone case,power bank,headphones,,
893,phone case,USB cable,power bank,headphones,
894,screen protector,,,,
895,USB cable,power bank,headphones,,
896,phone case,screen protector,power bank,headphones,
897,phone case,USB cable,power bank,headphones,
898,laptop charger,USB cable,wireless mouse,,
899,phone case,screen protector,power bank,headphones,webcam
900,laptop charger,USB cable,wireless mouse,keyboard,
901,screen protector,laptop charger,wireless mouse,phone stand,USB cable
902,screen protector,wireless mouse,phone stand,,
903,phone case,power bank,headphones,,
904,phone case,,,,
905,laptop charger,USB cable,wireless mouse,keyboard,phone case
906,USB cable,power bank,headphones,,
907,phone case,screen protector,power bank,headphones,
908,screen protector,laptop charger,wireless mouse,phone stand,
909,phone case,screen protector,power bank,headphones,
910,phone case,screen protector,keyboard,,
911,phone case,,,,
912,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
913,phone case,screen protector,tablet cover,,
914,laptop charger,wireless mouse,phone stand,,
915,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
916,laptop charger,USB cable,wireless mouse,keyboard,
917,phone case,screen protector,power bank,headphones,keyboard
918,laptop charger,wireless mouse,phone stand,,
919,phone case,screen protector,laptop charger,,
920,laptop charger,USB cable,keyboard,,
921,laptop charger,USB cable,wireless mouse,keyboard,power bank
922,screen protector,laptop charger,wireless mouse,phone stand,power bank
923,phone case,USB cable,power bank,headphones,
924,phone case,USB cable,power bank,,
925,phone case,USB cable,power bank,headphones,
926,phone case,screen protector,power bank,headphones,USB cable
927,phone case,screen protector,power bank,headphones,USB cable
928,laptop charger,USB cable,wireless mouse,keyboard,phone case
929,laptop charger,USB cable,wireless mouse,keyboard,
930,phone case,screen protector,tablet cover,,
931,phone case,screen protector,keyboard,,
932,phone case,screen protector,power bank,headphones,
933,phone case,screen protector,power bank,,
934,phone case,,,,
935,laptop charger,USB cable,wireless mouse,keyboard,screen protector
936,phone case,screen protector,power bank,headphones,
937,screen protector,laptop charger,phone stand,,
938,screen protector,laptop charger,wireless mouse,,
939,phone case,,,,
940,phone case,screen protector,tablet cover,,
941,phone case,USB cable,headphones,,
942,phone case,power bank,headphones,,
943,phone case,USB cable,power bank,headphones,
944,phone case,USB cable,power bank,headphones,
945,phone case,,,,
946,phone case,screen protector,wireless mouse,,
947,screen protector,laptop charger,wireless mouse,phone stand,headphones
948,phone case,screen protector,power bank,headphones,wireless mouse
949,phone case,,,,
950,phone case,screen protector,power bank,headphones,
951,USB cable,wireless mouse,keyboard,,
952,phone case,screen protector,headphones,,
953,screen protector,,,,
954,screen protector,laptop charger,wireless mouse,,
955,phone case,screen protector,power bank,headphones,webcam
956,phone case,screen protector,tablet cover,,
957,laptop charger,USB cable,wireless mouse,keyboard,
958,laptop charger,USB cable,wireless mouse,keyboard,
959,laptop charger,USB cable,wireless mouse,keyboard,screen protector
960,phone case,USB cable,power bank,,
961,phone case,USB cable,power bank,,
962,screen protector,wireless mouse,phone stand,,
963,phone case,,,,
964,phone case,USB cable,power bank,headphones,wireless mouse
965,screen protector,,,,
966,laptop charger,USB cable,wireless mouse,keyboard,screen protector
967,phone case,screen protector,power bank,,
968,screen protector,power bank,headphones,,
969,phone case,USB cable,power bank,,
970,screen protector,power bank,headphones,,
971,screen protector,laptop charger,wireless mouse,phone stand,Bluetooth speaker
972,screen protector,,,,
973,phone case,,,,
974,screen protector,laptop charger,wireless mouse,phone stand,
975,screen protector,,,,
976,phone case,screen protector,Bluetooth speaker,,
977,phone case,USB cable,power bank,headphones,
978,screen protector,,,,
979,phone case,USB cable,power bank,headphones,
980,screen protector,laptop charger,wireless mouse,,
981,phone case,USB cable,headphones,,
982,phone case,screen protector,power bank,,
983,screen protector,laptop charger,wireless mouse,phone stand,keyboard
984,phone case,USB cable,power bank,headphones,
985,phone case,USB cable,headphones,,
986,laptop charger,USB cable,keyboard,,
987,phone case,screen protector,power bank,,
988,phone case,screen protector,headphones,,
989,USB cable,wireless mouse,keyboard,,
990,laptop charger,wireless mouse,phone stand,,
991,laptop charger,USB cable,wireless mouse,keyboard,tablet cover
992,phone case,screen protector,phone stand,,
993,phone case,screen protector,power bank,headphones,
994,laptop charger,USB cable,keyboard,,
995,phone case,power bank,headphones,,
996,phone case,USB cable,power bank,headphones,tablet cover
997,phone case,screen protector,headphones,,
998,phone case,screen protector,power bank,,
999,phone case,screen protector,,,
1000,screen protector,laptop charger,wireless mouse,,
